ns,stage,seq,idx_ms_fp8,topk_ms,attn_ms,msa_full_ms,msa_dense_ms,fa4_ms,speedup_msa_over_fa4
compassv4,prefill,8192,0.05,0.224,0.885,1.159,0.410,0.392,0.34
compassv4,prefill,16384,0.087,0.413,1.458,1.958,1.678,1.38,0.70
compassv4,prefill,32768,0.29,0.939,2.392,3.621,6.909,5.793,1.60
compassv4,prefill,65536,1.084,2.24,4.537,7.862,27.952,23.288,2.96
compassv4,prefill,131072,4.371,5.945,9.178,19.494,111.369,93.051,4.77
compassv4,prefill,262144,17.486,18.042,19.633,55.161,445.838,375.363,6.80
compassv4,prefill,524288,70.362,32.929,40.016,143.307,1780.951,1503.135,10.49
compassv4,prefill,1048576,314.615,112.001,79.949,506.565,6198.502,6011.293,11.87
compassv4,decode_bs32,8192,0.0236,0.0133,0.0402,0.0771,0.1035,0.1567,2.03
compassv4,decode_bs32,16384,0.0298,0.0133,0.0418,0.0849,0.1834,0.228,2.69
compassv4,decode_bs32,32768,0.0419,0.0133,0.04,0.0952,0.329,0.3723,3.91
compassv4,decode_bs32,65536,0.0658,0.0133,0.0412,0.1203,0.6236,0.6249,5.19
compassv4,decode_bs32,131072,0.1074,0.0133,0.0402,0.161,1.2155,1.2893,8.01
compassv4,decode_bs32,262144,0.1834,0.0133,0.0402,0.2369,2.4065,2.5375,10.71
compassv4,decode_bs32,524288,0.3412,0.0133,0.04,0.3945,4.7839,5.1022,12.93
compassv4,decode_bs32,1048576,0.6604,0.0174,0.0419,0.7196,9.5878,10.2433,14.23
